Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;cpro;typeflag
2023;;Mar;5.0;64.0;0.0;248.2;120.0;;;11.0;80.0;01;1
2023;;Feb;9.0;44.0;0.0;151.111111;171.636363;;;10.0;63.0;01;1
2023;;Ene;6.0;106.0;0.0;136.166666;88.849056;;;15.0;127.0;01;1
2022;;Dic;1.0;10.0;0.0;112.0;206.0;;;18.0;29.0;01;1
2022;;Nov;7.0;259.0;0.0;164.571428;112.034749;;;22.0;288.0;01;1
2022;;Oct;7.0;60.0;0.0;155.857142;97.116666;;;15.0;82.0;01;1
2022;;Sep;13.0;45.0;0.0;129.846153;110.844444;;;14.0;72.0;01;1
2022;;Ago;6.0;6.0;0.0;183.166666;173.833333;;;9.0;21.0;01;1
2022;;Jul;7.0;9.0;0.0;186.285714;151.333333;;;19.0;35.0;01;1
2022;;Jun;12.0;122.0;0.0;160.916666;121.836065;;;18.0;152.0;01;1
2022;;May;10.0;54.0;0.0;131.2;146.203703;;;15.0;79.0;01;1
2022;;Abr;3.0;0.0;0.0;188.333333;0.0;;;7.0;10.0;01;1
2022;;Mar;9.0;128.0;0.0;147.555555;115.382812;;;20.0;157.0;01;1
2022;;Feb;8.0;24.0;0.0;162.75;101.25;;;12.0;44.0;01;1
2022;;Ene;2.0;207.0;0.0;179.5;99.801932;;;7.0;216.0;01;1
2021;;Dic;3.0;149.0;0.0;108.666666;135.738255;;;8.0;160.0;01;1
2021;;Nov;3.0;143.0;0.0;127.333333;112.265734;;;7.0;153.0;01;1
2021;;Oct;5.0;78.0;0.0;145.4;112.294871;;;20.0;103.0;01;1
2021;;Sep;10.0;15.0;0.0;187.1;116.2;;;17.0;42.0;01;1
2021;;Ago;2.0;102.0;0.0;138.0;104.90196;;;2.0;106.0;01;1
2021;;Jul;2.0;199.0;0.0;168.0;104.201005;;;8.0;209.0;01;1
2021;;Jun;4.0;74.0;0.0;203.5;120.081081;;;10.0;88.0;01;1
2021;;May;4.0;99.0;0.0;196.75;61.979797;;;5.0;108.0;01;1
2021;;Abr;9.0;32.0;0.0;124.888888;107.1875;;;22.0;63.0;01;1
2021;;Mar;2.0;120.0;0.0;179.0;124.95;;;9.0;131.0;01;1
2021;;Feb;5.0;142.0;0.0;215.6;131.788732;;;19.0;166.0;01;1
2021;;Ene;6.0;80.0;0.0;231.5;111.3125;;;16.0;102.0;01;1
2020;;Dic;2.0;11.0;0.0;173.0;105.272727;;;9.0;22.0;01;1
2020;;Nov;4.0;24.0;0.0;158.75;150.166666;;;13.0;41.0;01;1
2020;;Oct;4.0;42.0;0.0;109.75;117.071428;;;13.0;59.0;01;1
2020;;Sep;6.0;16.0;0.0;195.833333;51.0625;;;11.0;33.0;01;1
2020;;Ago;0.0;8.0;0.0;0.0;176.875;;;5.0;13.0;01;1
2020;;Jul;7.0;14.0;0.0;213.142857;143.214285;;;17.0;38.0;01;1
2020;;Jun;4.0;0.0;0.0;223.75;0.0;;;11.0;15.0;01;1
2020;;May;7.0;0.0;0.0;178.0;0.0;;;11.0;18.0;01;1
